time,temperature_2m,apparent_temperature,precipitation_probability,precipitation (mm),rain (mm)
2023-08-28T04:00,27.4,32.9,NaN,0.00,0.00
2023-08-28T05:00,27.5,32.4,NaN,0.00,0.00
2023-08-28T06:00,27.3,32.1,NaN,0.00,0.00
2023-08-28T07:00,28.0,32.7,NaN,0.00,0.00
2023-08-28T08:00,29.4,33.8,NaN,0.00,0.00
2023-08-28T09:00,30.8,35.4,NaN,0.00,0.00
2023-08-28T10:00,32.3,37.7,NaN,0.00,0.00
2023-08-28T11:00,33.1,38.6,NaN,0.00,0.00
2023-08-28T12:00,34.0,39.8,NaN,0.00,0.00
2023-08-28T13:00,34.5,40.0,NaN,0.00,0.00
2023-08-28T14:00,34.6,39.7,NaN,0.00,0.00
2023-08-28T15:00,34.6,38.8,NaN,0.00,0.00
2023-08-28T16:00,34.3,38.4,NaN,0.00,0.00
2023-08-28T17:00,34.4,38.9,NaN,0.00,0.00
2023-08-28T18:00,33.6,38.5,NaN,0.00,0.00
2023-08-28T19:00,32.7,38.0,NaN,0.00,0.00
2023-08-28T20:00,32.1,38.2,NaN,0.00,0.00
2023-08-28T21:00,30.7,36.0,NaN,0.00,0.00
2023-08-28T22:00,29.9,36.0,NaN,0.00,0.00
2023-08-28T23:00,29.8,36.2,NaN,0.00,0.00
2023-08-29T00:00,29.6,35.9,NaN,0.00,0.00
2023-08-29T01:00,29.5,35.9,NaN,0.00,0.00
2023-08-29T02:00,29.3,35.6,NaN,0.00,0.00
2023-08-29T03:00,28.9,35.2,NaN,0.00,0.00
2023-08-29T04:00,28.7,35.1,NaN,0.00,0.00
2023-08-29T05:00,28.8,34.9,NaN,0.00,0.00
2023-08-29T06:00,28.8,34.9,NaN,0.00,0.00
2023-08-29T07:00,29.2,34.7,NaN,0.00,0.00
2023-08-29T08:00,30.3,34.5,NaN,0.00,0.00
2023-08-29T09:00,31.6,35.3,NaN,0.00,0.00
2023-08-29T10:00,33.1,37.9,NaN,0.00,0.00
2023-08-29T11:00,33.6,38.8,NaN,0.00,0.00
2023-08-29T12:00,34.2,39.6,NaN,0.00,0.00
2023-08-29T13:00,34.5,39.6,NaN,0.10,0.00
2023-08-29T14:00,35.0,39.9,NaN,0.00,0.00
2023-08-29T15:00,35.2,38.8,NaN,0.00,0.00
2023-08-29T16:00,35.1,38.4,NaN,0.10,0.00
2023-08-29T17:00,34.8,39.0,NaN,0.00,0.00
2023-08-29T18:00,34.0,38.6,NaN,0.00,0.00
2023-08-29T19:00,33.0,38.7,NaN,0.00,0.00
2023-08-29T20:00,32.6,38.7,NaN,0.00,0.00
2023-08-29T21:00,32.3,38.5,NaN,0.00,0.00
2023-08-29T22:00,31.1,36.8,NaN,0.00,0.00
2023-08-29T23:00,30.6,36.8,NaN,0.00,0.00
2023-08-30T00:00,30.2,36.5,NaN,0.00,0.00
2023-08-30T01:00,29.9,36.3,NaN,0.00,0.00
2023-08-30T02:00,29.8,36.1,NaN,0.00,0.00
2023-08-30T03:00,29.7,36.2,NaN,0.00,0.00
2023-08-30T04:00,29.7,35.5,NaN,0.00,0.00
2023-08-30T05:00,28.9,34.5,NaN,0.00,0.00
2023-08-30T06:00,28.7,34.2,NaN,0.00,0.00
2023-08-30T07:00,29.2,34.2,NaN,0.00,0.00
2023-08-30T08:00,30.2,34.7,NaN,0.00,0.00
2023-08-30T09:00,31.4,36.0,NaN,0.00,0.00
2023-08-30T10:00,32.8,38.1,NaN,0.00,0.00
2023-08-30T11:00,33.3,39.6,NaN,0.00,0.00
2023-08-30T12:00,34.4,40.5,NaN,0.00,0.00
2023-08-30T13:00,34.8,40.5,NaN,0.00,0.00
2023-08-30T14:00,34.8,40.4,NaN,0.00,0.00
2023-08-30T15:00,34.8,39.8,NaN,0.00,0.00
2023-08-30T16:00,34.7,39.2,NaN,0.00,0.00
2023-08-30T17:00,34.4,39.3,NaN,0.00,0.00
2023-08-30T18:00,33.6,38.8,NaN,0.00,0.00
2023-08-30T19:00,32.7,38.9,NaN,0.00,0.00
2023-08-30T20:00,32.2,38.7,NaN,0.00,0.00
2023-08-30T21:00,32.0,38.2,NaN,0.00,0.00
2023-08-30T22:00,31.1,37.3,NaN,0.00,0.00
2023-08-30T23:00,31.0,37.3,NaN,0.00,0.00
2023-08-31T00:00,30.6,36.7,NaN,0.00,0.00
2023-08-31T01:00,30.2,36.3,NaN,0.00,0.00
2023-08-31T02:00,29.9,35.9,NaN,0.00,0.00
2023-08-31T03:00,29.7,35.6,NaN,0.00,0.00
2023-08-31T04:00,29.5,35.5,NaN,0.00,0.00
2023-08-31T05:00,29.1,35.4,NaN,0.00,0.00
2023-08-31T06:00,28.9,35.2,NaN,0.00,0.00
2023-08-31T07:00,29.4,35.8,NaN,0.00,0.00
2023-08-31T08:00,30.6,36.6,NaN,0.00,0.00
2023-08-31T09:00,32.1,38.0,NaN,0.00,0.00
2023-08-31T10:00,33.5,39.4,NaN,0.00,0.00
2023-08-31T11:00,33.8,40.4,NaN,0.00,0.00
2023-08-31T12:00,34.4,41.4,NaN,0.00,0.00
2023-08-31T13:00,35.0,41.4,NaN,0.00,0.00
2023-08-31T14:00,35.5,40.9,NaN,0.00,0.00
2023-08-31T15:00,35.6,40.3,NaN,0.00,0.00
2023-08-31T16:00,35.5,39.8,NaN,0.00,0.00
2023-08-31T17:00,34.9,39.1,NaN,0.00,0.00
2023-08-31T18:00,33.9,39.0,NaN,0.00,0.00
2023-08-31T19:00,33.0,39.1,NaN,0.00,0.00
2023-08-31T20:00,32.8,38.5,NaN,0.00,0.00
2023-08-31T21:00,32.5,38.1,NaN,0.00,0.00
2023-08-31T22:00,31.6,37.3,NaN,0.00,0.00
2023-08-31T23:00,31.3,37.5,NaN,0.00,0.00
2023-09-01T00:00,30.9,37.1,NaN,0.00,0.00
2023-09-01T01:00,30.4,36.6,NaN,0.00,0.00
2023-09-01T02:00,30.0,36.3,NaN,0.00,0.00
2023-09-01T03:00,29.7,35.8,NaN,0.00,0.00
2023-09-01T04:00,29.5,35.6,NaN,0.00,0.00
2023-09-01T05:00,29.3,35.4,NaN,0.00,0.00
2023-09-01T06:00,29.3,35.3,NaN,0.00,0.00
2023-09-01T07:00,29.9,35.9,NaN,0.00,0.00
2023-09-01T08:00,31.1,36.9,NaN,0.00,0.00
2023-09-01T09:00,32.6,38.3,NaN,0.00,0.00
2023-09-01T10:00,34.4,40.6,NaN,0.00,0.00
2023-09-01T11:00,35.5,41.7,NaN,0.00,0.00
2023-09-01T12:00,36.4,42.0,NaN,0.00,0.00
2023-09-01T13:00,36.8,41.7,NaN,0.00,0.00
2023-09-01T14:00,37.0,41.3,NaN,0.00,0.00
2023-09-01T15:00,37.2,40.7,NaN,0.00,0.00
2023-09-01T16:00,37.0,40.4,NaN,0.00,0.00
2023-09-01T17:00,36.4,39.9,NaN,0.00,0.00
2023-09-01T18:00,35.1,39.7,NaN,0.00,0.00
2023-09-01T19:00,34.0,39.4,NaN,0.00,0.00
2023-09-01T20:00,33.6,39.0,NaN,0.00,0.00
2023-09-01T21:00,33.0,37.9,NaN,0.00,0.00
2023-09-01T22:00,32.0,37.1,NaN,0.00,0.00
2023-09-01T23:00,31.6,37.0,NaN,0.00,0.00
2023-09-02T00:00,30.5,36.0,NaN,0.00,0.00
2023-09-02T01:00,29.7,35.5,NaN,0.00,0.00
2023-09-02T02:00,29.4,35.4,NaN,0.00,0.00
2023-09-02T03:00,29.0,34.8,NaN,0.00,0.00
2023-09-02T04:00,28.5,33.7,NaN,0.00,0.00
2023-09-02T05:00,28.3,33.1,NaN,0.00,0.00
2023-09-02T06:00,28.2,32.6,NaN,0.00,0.00
2023-09-02T07:00,28.9,33.2,NaN,0.00,0.00
2023-09-02T08:00,30.4,34.5,NaN,0.00,0.00
2023-09-02T09:00,32.2,35.8,NaN,0.00,0.00
2023-09-02T10:00,34.2,37.6,NaN,0.00,0.00
2023-09-02T11:00,35.6,40.7,NaN,0.00,0.00
2023-09-02T12:00,36.5,41.2,NaN,0.00,0.00
2023-09-02T13:00,37.1,41.6,NaN,0.00,0.00
2023-09-02T14:00,37.5,41.3,NaN,0.00,0.00
2023-09-02T15:00,37.8,40.1,NaN,0.00,0.00
