time,temperature_2m (°C),apparent_temperature (°C),precipitation_probability (%),precipitation (mm),rain (mm)
2023-07-03T00:00,33.3,35.9,0,0.00,0.00
2023-07-03T01:00,33.1,35.8,0,0.00,0.00
2023-07-03T02:00,32.5,35.5,0,0.00,0.00
2023-07-03T03:00,32.1,35.3,0,0.00,0.00
2023-07-03T04:00,31.8,35.0,0,0.00,0.00
2023-07-03T05:00,32.0,35.7,0,0.00,0.00
2023-07-03T06:00,32.2,36.1,0,0.00,0.00
2023-07-03T07:00,33.0,36.9,0,0.00,0.00
2023-07-03T08:00,34.3,38.2,0,0.00,0.00
2023-07-03T09:00,35.8,39.9,0,0.00,0.00
2023-07-03T10:00,37.4,42.9,0,0.00,0.00
2023-07-03T11:00,37.9,44.2,0,0.00,0.00
2023-07-03T12:00,38.6,44.5,1,0.00,0.00
2023-07-03T13:00,40.0,45.5,2,0.00,0.00
2023-07-03T14:00,39.1,40.7,3,0.00,0.00
2023-07-03T15:00,39.6,41.2,2,0.00,0.00
2023-07-03T16:00,39.1,39.9,1,0.00,0.00
2023-07-03T17:00,39.2,40.7,0,0.00,0.00
2023-07-03T18:00,39.1,40.8,0,0.00,0.00
2023-07-03T19:00,38.7,40.6,0,0.00,0.00
2023-07-03T20:00,38.5,40.5,0,0.00,0.00
2023-07-03T21:00,38.0,39.1,0,0.00,0.00
2023-07-03T22:00,36.2,37.3,0,0.00,0.00
2023-07-03T23:00,34.7,36.7,0,0.00,0.00
2023-07-04T00:00,34.2,36.7,0,0.00,0.00
2023-07-04T01:00,33.9,36.7,0,0.00,0.00
2023-07-04T02:00,33.5,36.3,0,0.00,0.00
2023-07-04T03:00,33.3,36.1,2,0.00,0.00
2023-07-04T04:00,33.3,36.5,4,0.00,0.00
2023-07-04T05:00,33.7,37.4,6,0.00,0.00
2023-07-04T06:00,33.7,37.5,17,0.00,0.00
2023-07-04T07:00,34.5,38.7,28,0.00,0.00
2023-07-04T08:00,35.8,40.4,39,0.00,0.00
2023-07-04T09:00,37.1,41.6,34,0.00,0.00
2023-07-04T10:00,38.5,43.9,28,0.00,0.00
2023-07-04T11:00,38.6,44.8,23,0.00,0.00
2023-07-04T12:00,39.8,46.4,26,0.00,0.00
2023-07-04T13:00,40.3,45.7,29,0.00,0.00
